rate_date,currency_pair,rate_mid,source
2026-04-17,USD/IDR,17189.0,Bank Indonesia JISDOR
2026-04-20,USD/IDR,17176.0,Bank Indonesia JISDOR
2026-04-21,USD/IDR,17142.0,Bank Indonesia JISDOR
2026-04-22,USD/IDR,17179.0,Bank Indonesia JISDOR
2026-04-23,USD/IDR,17308.0,Bank Indonesia JISDOR
2026-04-24,USD/IDR,17278.0,Bank Indonesia JISDOR
2026-04-27,USD/IDR,17227.0,Bank Indonesia JISDOR
2026-04-28,USD/IDR,17245.0,Bank Indonesia JISDOR
2026-04-29,USD/IDR,17324.0,Bank Indonesia JISDOR
2026-04-30,USD/IDR,17378.0,Bank Indonesia JISDOR
